#Digilent WaveForms Impedance Analyzer
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 3000 Hz
#Steps: 2001
#Resistor: 1000 ¦¸
#Average: 1
#ProbeResistance: 1.041e+06 ¦¸
#ProbeCapacitance: 4.5e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.48591 V
#Offset: -0.000257542 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.5047 V
#Offset: -0.000259064 V
#Attenuation: 1 X

Frequency (Hz)	Trace < (deg)	Trace th (deg)	Trace |Z| (Ohm)	Trace Rs (Ohm)	Trace Xs (Ohm)
1073.431463810045	-89.36972036634944	-89.39630090304594	22865.86087318979	240.9225297271467	-22864.59161688093
1074.021268285418	-89.31564418878203	-89.34223933033948	22871.48022845656	262.5608698317224	-22869.97310077808
1074.611396833012	-89.33305722252743	-89.35966697697054	22833.99096549774	255.1855340498624	-22832.56498415463
1075.201849630892	-89.35507509395831	-89.38169946931625	22825.08297058841	246.3093638107728	-22823.75394871632
1075.792626857219	-89.37676247335234	-89.40340147765866	22785.7562846158	237.2548728468722	-22784.52105239912
1076.383728690252	-89.34181856321251	-89.36847220450521	22784.76529791012	251.1340515219236	-22783.38125408552
1076.975155308349	-89.34803904473443	-89.37470733105587	22769.61203319357	248.4893124358833	-22768.25608613357
1077.566906889966	-89.35355013038084	-89.38023306977784	22730.85846591897	245.8742993821793	-22729.52864505869
1078.158983613655	-89.39022153307377	-89.41691913359756	22729.6407741303	231.3083090617927	-22728.46378854421
1078.751385658069	-89.33782881327564	-89.36454108298189	22694.12663746558	251.6920026057724	-22692.73088398901
1079.344113201956	-89.29301679227383	-89.31974373922259	22664.58224512501	269.0837246078411	-22662.98484964386
1079.937166424166	-89.4084349240638	-89.43517655631963	22651.35832740381	223.2941257147947	-22650.2576985311
1080.530545503644	-89.36999036775548	-89.39674669338727	22652.3537767472	238.4967088731985	-22651.09822827074
1081.124250619436	-89.33037005239531	-89.35714107947648	22609.97211898111	253.6786728366211	-22608.54896608915
1081.718281950683	-89.34086534579612	-89.36765108240445	22595.39593159153	249.3706206497196	-22594.01981938893
1082.312639676627	-89.37929355681418	-89.40609401103191	22589.79557833389	234.1529296886528	-22588.58199791284
1082.907323976609	-89.32417521967562	-89.35099039958948	22564.77997130657	255.5937938774438	-22563.33235508464
1083.502335030066	-89.35074243546077	-89.37757234916189	22563.19886447988	245.1085011081791	-22561.86749408724
1084.097673016536	-89.36067751448911	-89.38752217007303	22521.6205341495	240.7460144769615	-22520.33376397291
1084.693338115653	-89.32452229256529	-89.35138169813206	22488.78884633022	254.5794577155744	-22487.34784438876
1085.289330507154	-89.3835846204874	-89.4104587841415	22479.67232551906	231.2990523822137	-22478.48234670381
1085.88565037087	-89.30446851400758	-89.33135744385795	22458.19839711622	262.0815436105177	-22456.66913210265
1086.482297886733	-89.29036531111184	-89.31726901527186	22440.11710617254	267.3879441753477	-22438.52400284046
1087.079273234775	-89.34440596699538	-89.37132445358291	22410.40986559994	245.8923516608871	-22409.06083028857
1087.676576595125	-89.33242345238956	-89.35935672952688	22399.15646728722	250.4472400946367	-22397.75628552877
1088.274208148012	-89.40607177307544	-89.43301984888932	22385.41153606143	221.5150396830606	-22384.31550720339
1088.872168073763	-89.38452396020898	-89.41148684283066	22374.37906057496	229.8142207921083	-22373.19878270018
1089.470456552805	-89.2699443292325	-89.29692202679769	22346.9457826208	274.2130603637647	-22345.26332377669
1090.069073765664	-89.37247991802346	-89.3994724386723	22297.82485513614	233.7033081620447	-22296.60010033102
1090.668019892966	-89.35365734407269	-89.38066469594985	22305.52698501197	241.1055653786182	-22304.22386422448
1091.267295115434	-89.26484061225558	-89.2918628035102	22273.71797502342	275.281125088338	-22272.01680883551
1091.866899613892	-89.33691576678702	-89.36395280557267	22264.80136743627	247.159104948675	-22263.42948218519
1092.466833569264	-89.33936543349239	-89.36641732796714	22220.32795067668	245.7096832584982	-22218.9693952527
1093.067097162571	-89.3114991497124	-89.33856590803883	22227.48860442176	256.5929343454452	-22226.00750755167
1093.667690574936	-89.37577001577193	-89.40285164611709	22182.80079798078	231.1895096862278	-22181.59603485529
1094.26861398758	-89.37404427370481	-89.4011407842402	22184.61762015548	231.8708450714455	-22183.40584454332
1094.869867581824	-89.32766813123773	-89.35477953013938	22164.15313847662	249.5901646972663	-22162.74777854789
1095.471451539088	-89.36709962353376	-89.39422591898217	22132.76035019328	233.9998319093471	-22131.52332754694
1096.073366040893	-89.31020919371731	-89.33735039389752	22105.07707755106	255.6487440562864	-22103.59871885427
1096.675611268859	-89.33054754225148	-89.35770365535301	22093.93268793731	247.6719071368785	-22092.54444932769
1097.278187404705	-89.26191858544389	-89.2890896196607	22090.31883273426	274.08360878928	-22088.61843364693
1097.881094630252	-89.34558349112874	-89.37276945465938	22044.27012083446	241.3190555385579	-22042.94921905299
1098.484333127419	-89.32637578937526	-89.35357669042271	22055.99847145992	248.8352402530813	-22054.5947502159
1099.087903078226	-89.32184639021656	-89.34906223698836	22017.68136113298	250.1376551911346	-22016.26043799987
1099.69180466479	-89.33116581473057	-89.35839661543874	22026.34644524247	246.6478891582161	-22024.96543798921
1100.296038069334	-89.30319007704182	-89.33043583990289	21959.57872884947	256.6159733699245	-21958.07929193147
1100.900603474176	-89.32308647109438	-89.35034720432944	21963.65418776305	249.0313201010033	-21962.24234182954
1101.505501061736	-89.3927752348262	-89.42005094666079	21946.34041816669	222.1375138155252	-21945.21616833638
1102.110731014535	-89.29388066957205	-89.32117136823629	21918.85746244082	259.6840474408457	-21917.31910280777
1102.716293515192	-89.33661563184094	-89.36392132556944	21889.70284973586	243.0072037758545	-21888.3539433336
1103.322188746429	-89.31664264501235	-89.34396334204422	21884.1261529013	250.5677626849564	-21882.6916368257
1103.928416891066	-89.32915213332731	-89.35648784190627	21853.11198099867	245.4360114670051	-21851.73367077181
1104.534978132026	-89.31356905288622	-89.34091978126042	21828.52829361027	251.0906396041791	-21827.08411482504
1105.14187265233	-89.31403975077103	-89.34140550719322	21834.36084007429	250.972641682262	-21832.91840381621
1105.749100635102	-89.34701157974327	-89.37439237247069	21799.82805400385	238.0256945810884	-21798.52855017633
1106.356662263563	-89.32532870218876	-89.35272453948323	21769.13817581393	245.9226376170739	-21767.74905620669
1106.964557721039	-89.34089009113545	-89.36830098126332	21760.33856673648	239.9078283744319	-21759.01603411523
1107.572787190953	-89.29249445853648	-89.31992040976864	21716.00595535039	257.7548603517166	-21714.47621023309
1108.181350856833	-89.34992555917256	-89.37736657978439	21721.22465211885	236.0399723506057	-21719.94211592813
1108.790248902303	-89.35766955549697	-89.38512565376847	21700.5970060817	232.8772624658205	-21699.34742339014
1109.399481511092	-89.33418227550587	-89.36165345972155	21669.11738204832	241.4160356582484	-21667.77253006676
1110.009048867026	-89.33274971150243	-89.36023598995138	21660.69943588261	241.8580930216663	-21659.34912952107
1110.618951154036	-89.32899347263105	-89.35649485360689	21653.19682872541	243.1880807530389	-21651.83115722325
